latitude,longitude
47.37322673,8.528031166
47.37389693,8.538321098
47.37233674,8.538331102
47.3765272,8.534801113
47.37618717,8.535521109
47.37597715,8.536031107
47.37678727,8.538101091
47.37690733,8.541871067
47.37806747,8.541841063
47.3783275,8.541701064
47.37854753,8.541351065
47.37857753,8.541191066
47.37919757,8.538521081
47.37966761,8.537521086
47.39193882,8.518241178
47.3913087,8.5152812
47.39553046,8.60360062
47.40061117,8.606050584
47.4025414,8.603910588
47.40245139,8.604010588
47.36548606,8.552331034
47.40547178,8.602610583
47.40711198,8.601740581
47.40788208,8.60142058
47.40798209,8.601240581
47.40709198,8.601630582
47.40542177,8.602520584
47.40332153,8.605990572
47.4096023,8.600640577
47.41075245,8.600140575
47.41345269,8.592440611
47.41447284,8.593260601
47.36576606,8.549441051
47.36400587,8.551521043
47.36450594,8.552511036
47.36515603,8.553241029
47.36470598,8.554551023
47.36521604,8.554181023
47.36521598,8.547911062
47.39081988,8.608130613
47.38454902,8.605200655
47.38452901,8.605260655
47.40278146,8.606160574
47.40246142,8.606120575
47.39651049,8.596060661
47.40441167,8.604980574
47.40436166,8.604890574
47.39820088,8.608550579
47.3970107,8.606810595
47.39607056,8.606060603
47.39686068,8.607060594
47.39963106,8.607840577
47.39113993,8.608550609
47.39539046,8.60540061
47.39528045,8.60539061
47.3949004,8.60581061
47.39485039,8.60572061
47.39372025,8.606660609
47.39369025,8.606860608
47.39268012,8.607110611
47.39264011,8.606960612
47.38763942,8.604560647
47.38635925,8.60491065
47.36642613,8.547861059
47.36565603,8.547341064
47.36485596,8.549691052
47.36864636,8.543921077
47.37006652,8.543341077
47.37181673,8.542821075
47.37248681,8.542771074
47.37292686,8.542761072
47.37590723,8.543491059
47.37642729,8.543491058
47.37437704,8.543021067
47.37442703,8.541951073
47.37687734,8.542391063
47.37719733,8.538871085
47.37721733,8.538771086
47.37689732,8.541061072
47.36748623,8.545261072
47.36469591,8.547351067
47.39641048,8.595930662
47.39626048,8.597530653
47.39585046,8.600570637
47.39544044,8.603350622
47.36610611,8.550061046
47.36656616,8.549061051
47.36788643,8.560580977
47.37053678,8.563080954
47.36959665,8.561650965
47.37091684,8.563640949
47.37252706,8.566130929
47.37230702,8.564990937
47.37527741,8.566320919
47.37513739,8.566640918
47.37391724,8.566590922
47.37331716,8.566470925
47.37855792,8.575230854
